,number_subjects,hours_per_week_schedule,rate,bio_count,num_popular_subjects,number_degrees,desc_count,welcoming_kw,passion_kw,experience_kw,hours_per_week_estimate,Label
378,7,12,60,233,1,2,7,1,1,0,1.456318569687119,Low
380,6,74,15,374,5,1,7,0,0,0,4.052631578947368,High
383,12,68,95,323,5,3,8,1,1,1,1.8916876574307304,Low
384,10,161,60,305,0,1,6,0,0,0,0.8553054662379421,Low
386,102,84,36,316,17,3,4,0,0,0,19.410408042578357,High
388,11,70,55,231,4,2,8,0,1,0,3.7103825136612025,High
389,15,20,25,238,10,1,11,1,1,1,2.078787878787879,High
391,7,15,40,366,6,2,8,0,0,0,1.0249221183800623,Low
393,19,69,45,336,14,3,5,0,0,0,8.33,High
394,8,88,45,353,0,3,6,0,1,1,1.254275092936803,Low
395,9,86,25,202,7,1,3,1,0,0,0.9102564102564104,Low
396,12,71,40,201,12,2,5,0,0,1,3.0722635494155157,High
397,15,84,40,348,3,2,7,0,1,1,0.5788742182070883,Low
399,8,63,50,149,7,2,5,1,1,0,0.6527331189710611,Low
401,29,90,100,372,17,0,10,0,0,0,3.6046613896218123,High
402,19,18,50,336,15,2,5,0,0,0,0.8927625772285968,Low
404,19,20,45,252,8,1,11,1,1,0,1.5354150799695354,Low
406,11,52,45,345,6,1,7,0,0,1,3.5148936170212766,High
408,9,34,45,134,9,2,10,0,0,1,0.7753094255791813,Low
409,32,98,80,345,4,3,8,0,0,1,5.917387127761768,High
410,9,51,35,346,2,1,3,0,0,0,6.1090909090909085,High
411,8,87,80,354,5,1,4,1,0,1,0.6378504672897196,Low
412,11,72,55,197,2,1,12,0,0,0,7.306064880112834,High
414,11,31,50,300,1,3,10,1,1,0,0.9400898652021968,Low
415,12,54,30,147,9,1,4,1,1,0,0.9652466367713004,Low
416,7,30,40,187,2,2,8,0,0,0,0.9136780650542118,Low
418,16,35,80,322,11,2,11,0,0,0,0.6313291139240506,Low
420,6,51,59,223,3,2,9,0,0,0,8.013157894736839,High
422,6,49,60,189,0,3,10,0,0,0,2.3413379073756437,High
423,22,93,70,178,15,1,7,0,0,1,1.6190155091031693,Low
425,7,53,50,366,1,1,7,0,0,1,0.5022900763358779,Low
426,13,28,50,337,5,2,13,1,1,0,0.8498896247240618,Low
427,34,64,40,191,12,2,8,1,0,0,0.6700887902330743,Low
428,34,95,50,293,14,3,8,1,1,1,19.05813953488372,High
429,24,39,30,253,16,2,11,1,0,1,0.7609539656128674,Low
430,18,38,40,259,5,3,10,0,1,0,1.7111111111111108,Low
431,19,75,45,91,16,2,6,0,0,0,0.6201372997711669,Low
432,11,98,40,254,5,2,11,0,0,0,1.0457831325301206,Low
433,25,98,45,171,10,2,9,1,0,0,1.3231518370960602,Low
434,6,90,80,281,2,2,9,1,0,0,5.7368421052631575,High
436,11,49,45,92,9,2,5,0,0,0,1.9316037735849056,Low
437,35,70,20,327,14,1,9,1,0,0,11.666666666666668,High
438,8,30,40,141,1,1,8,0,1,0,0.6968325791855203,Low
440,3,23,40,116,1,2,3,1,1,0,0.7814726840855106,Low
441,10,41,60,164,9,1,7,0,0,1,0.875,Low
442,25,68,45,294,9,3,9,0,0,0,2.4427378065211536,High
443,10,82,50,168,3,2,7,1,0,1,3.885525311625541,High
444,42,30,42,114,26,2,10,1,0,0,7.459375,High
446,17,26,60,211,7,1,3,1,0,0,0.9578469520103764,Low
448,7,25,30,344,2,1,9,0,0,0,4.1826150474799135,High
449,5,74,70,351,4,3,10,0,0,1,1.6074074074074074,Low
450,13,60,65,355,10,2,8,0,0,0,2.8409703504043127,High
451,8,94,35,188,6,2,4,1,0,0,1.12,Low
452,24,91,50,338,10,2,13,1,0,0,6.065476190476191,High
453,22,54,78,316,8,1,6,0,0,0,2.078602620087336,High
455,31,83,65,134,12,2,11,0,1,0,4.256292906178491,High
456,22,112,80,280,12,1,12,0,0,0,9.66069459757442,High
457,12,63,40,219,0,3,9,0,1,0,7.918032786885245,High
458,4,80,65,253,2,1,5,1,1,0,1.13658070678128,Low
460,10,98,40,253,7,1,2,1,0,0,10.23953488372093,High
464,11,24,40,348,4,3,9,0,0,0,1.3309210526315791,Low
465,8,25,100,133,4,3,9,1,0,0,9.8,High
466,25,112,75,274,18,2,8,1,0,1,2.4100877192982457,High
468,21,98,40,289,13,2,12,0,0,0,3.6525373134328367,High
470,3,28,75,226,0,3,12,0,0,0,6.174822064056939,High
472,14,33,50,313,0,3,11,0,0,0,3.736874051593324,High
473,11,84,65,154,3,1,6,1,0,1,6.915279878971256,High
474,13,57,20,232,2,1,10,0,0,0,1.2934782608695652,Low
476,12,49,60,207,0,3,5,0,1,0,0.5675675675675675,Low
477,7,75,45,265,1,1,10,0,0,0,0.8787878787878788,Low
480,13,69,25,356,1,1,7,0,1,0,3.684210526315789,High
481,24,91,40,337,4,3,12,0,0,1,1.0626185958254268,Low
482,4,104,45,348,0,1,6,0,0,0,10.2744140625,High
486,12,40,40,369,6,2,10,0,0,0,0.7114754098360656,Low
487,5,77,40,188,4,1,11,1,0,0,4.923954372623574,High
488,33,45,39,75,5,1,4,0,1,0,4.62972972972973,High
489,10,34,26,209,9,2,7,0,0,0,0.8831775700934579,Low
490,13,90,55,247,1,2,5,0,0,0,23.21518987341772,High
492,23,75,90,268,0,3,9,0,0,0,2.6703890489913547,High
493,15,12,55,186,10,1,5,0,0,0,1.27994555353902,Low
495,11,64,15,229,6,1,10,1,1,0,2.4898266767143933,High
497,13,49,40,90,7,1,7,0,0,0,1.8148148148148149,Low
498,11,8,55,322,1,3,11,1,1,1,2.7700534759358293,High
499,36,91,50,319,25,0,6,0,1,0,5.090909090909091,High
500,40,69,35,47,0,3,7,0,0,0,4.8617886178861776,High
502,20,68,49,312,7,2,9,0,0,0,2.515120451050743,High
503,23,41,55,132,11,1,5,0,1,0,1.1037444177258675,Low
504,7,73,40,338,2,1,6,0,1,0,2.236514522821577,High
505,23,23,80,358,12,2,7,0,0,0,1.0967267377712393,Low
506,26,86,70,156,8,1,6,0,0,1,3.6722319859402464,High
507,5,30,30,263,0,1,7,1,1,1,2.6961942257217855,High
508,7,29,40,323,3,2,4,0,0,1,4.077235772357724,High
509,14,46,60,384,11,3,7,0,0,0,0.962041884816754,Low
510,4,98,50,180,4,3,4,0,0,0,1.381578947368421,Low
511,9,41,80,259,7,1,7,0,0,1,1.0415754923413567,Low
512,20,68,48,306,12,3,8,0,0,1,6.324778761061947,High
513,4,119,30,301,2,1,9,0,1,1,7.174999999999999,High
514,13,126,145,301,8,3,8,0,0,0,1.9643652561247216,Low
515,24,67,35,259,3,0,5,1,0,0,2.7363636363636363,High
516,13,79,40,333,7,1,4,0,0,1,0.5455112219451372,Low
517,18,94,100,251,12,3,12,1,1,0,2.332663605051665,High
518,8,70,40,141,3,2,5,0,1,0,0.905084745762712,Low
519,4,2,50,118,0,2,7,0,0,0,0.6767634854771785,Low
520,11,42,30,352,3,1,9,0,0,0,0.6127098321342925,Low
521,11,71,50,382,4,2,9,0,0,0,2.5058365758754864,High
523,7,26,40,228,3,2,8,0,0,0,0.5943396226415094,Low
525,11,98,50,361,11,2,4,0,0,1,1.7578194816800716,Low
526,29,70,35,290,2,2,9,0,0,0,4.339599509603596,High
528,12,119,100,142,10,2,8,0,0,1,2.2798165137614683,High
530,14,59,50,196,6,3,7,1,1,0,2.9138755980861246,High
531,35,98,45,315,0,3,11,0,0,0,2.7620266120777894,High
533,17,58,30,283,7,1,8,1,0,0,0.8124557678697806,Low
535,19,70,50,345,7,2,10,0,0,1,3.3234529381175246,High
536,14,40,40,195,11,2,8,1,0,0,1.9771929824561405,Low
537,5,78,100,209,1,3,11,0,0,0,3.442767295597484,High
538,23,40,75,127,18,2,7,0,1,0,1.4540951122853367,Low
539,42,168,50,332,11,3,9,1,0,0,6.237529691211401,High
540,22,161,45,147,4,2,7,0,1,0,31.981412639405203,High
543,18,168,94,162,3,2,13,1,0,0,8.896137787056368,High
545,12,22,90,295,7,1,5,0,0,0,0.6655948553054662,Low
547,23,49,80,303,18,0,8,1,0,0,1.3098745226404802,Low
548,9,63,20,373,0,1,4,0,0,0,13.125,High
549,8,70,70,292,3,2,8,1,1,1,1.7385120350109409,Low
551,7,64,20,306,5,3,5,0,0,0,1.062609303952431,Low
552,14,40,90,179,2,2,8,1,1,1,14.623762376237625,High
553,11,68,35,155,5,2,7,1,0,0,1.4264705882352942,Low
554,15,112,75,168,13,0,15,1,1,0,0.9191090269636576,Low
555,9,20,35,77,4,2,5,0,0,0,1.6470588235294117,Low
558,5,4,100,84,1,2,3,0,0,0,0.5443532629933568,Low
560,14,156,33,285,7,2,8,0,0,0,0.6576576576576577,Low
564,39,168,150,349,18,1,10,0,1,0,0.6848998459167951,Low
566,6,53,32,116,1,2,9,0,0,0,1.0104772991850992,Low
567,16,26,100,271,8,2,6,0,0,0,0.5998336106489184,Low
568,22,97,80,351,3,1,7,1,0,1,9.057583741061348,High
569,18,84,40,127,10,2,7,0,0,0,1.811557788944724,Low
571,3,49,70,332,0,3,9,0,0,0,1.7360742705570291,Low
572,16,168,60,274,7,2,9,1,1,1,0.520529197080292,Low
575,9,47,80,303,6,1,7,1,0,0,20.830713422007253,High
576,25,35,205,196,3,1,6,0,1,1,3.2150127226463106,High
577,16,33,65,162,10,3,5,1,1,1,7.462515883100381,High
578,14,74,60,357,11,3,9,1,0,0,2.7509469696969697,High
579,13,77,48,337,0,3,9,0,0,0,2.8157894736842106,High
580,42,60,60,355,0,0,9,0,0,0,7.27792207792208,High
582,15,70,150,353,0,1,8,0,0,1,11.472222222222221,High
583,15,56,50,351,9,0,9,1,1,0,1.9193548387096773,Low
